"","fips","date","county","state","YH","wet_bulb_temp_C","daily_visitation_diff","inc"
"1",12086,2020-12-01,"Miami-Dade","FL",124,20.43599,-0.307566317212619,1958.18698257007
"2",12086,2020-12-02,"Miami-Dade","FL",101,20.7662,-0.283852003527486,2029.46274352405
"3",12086,2020-12-03,"Miami-Dade","FL",118,19.34939,-0.402099546403548,2094.26045526818
"4",12086,2020-12-04,"Miami-Dade","FL",113,20.05254,-0.330224807595101,2147.72209386199
"5",12086,2020-12-05,"Miami-Dade","FL",111,19.93032,-0.200894365614773,2186.0212434435
"6",12086,2020-12-06,"Miami-Dade","FL",89,19.72452,-0.219652987192145,2205.33148815076
"7",12086,2020-12-07,"Miami-Dade","FL",119,20.29951,-0.32886562960049,2203.40694386043
"8",12086,2020-12-08,"Miami-Dade","FL",111,20.4538,-0.338229473277705,2184.32385340396
"9",12086,2020-12-09,"Miami-Dade","FL",96,20.49869,-0.42502544407515,2154.37672732839
"10",12086,2020-12-10,"Miami-Dade","FL",100,18.6877,-0.490754139231565,2122.41102008881
"11",12086,2020-12-11,"Miami-Dade","FL",99,18.28327,-0.355677904896086,2097.90992211728
"12",12086,2020-12-12,"Miami-Dade","FL",109,18.65261,-0.452019706761499,2089.19978511231
"13",12086,2020-12-13,"Miami-Dade","FL",108,18.77367,-0.415907238985972,2099.97960583828
"14",12086,2020-12-14,"Miami-Dade","FL",129,19.09863,-0.394550547929647,2131.21101058738
"15",12086,2020-12-15,"Miami-Dade","FL",152,19.29682,-0.429253847260278,2177.53349869707
"16",12086,2020-12-16,"Miami-Dade","FL",124,19.37711,-0.471743647518896,2232.00603776615
"17",12086,2020-12-17,"Miami-Dade","FL",151,19.76025,-0.52276881819482,2287.2317089847
"18",12086,2020-12-18,"Miami-Dade","FL",135,19.40754,-0.395162661450812,2333.99004790796
"19",12086,2020-12-19,"Miami-Dade","FL",145,18.53821,-0.146223461443036,2363.761542416
"20",12086,2020-12-20,"Miami-Dade","FL",117,19.86448,-0.276774198563807,2372.65403532302
"21",12086,2020-12-21,"Miami-Dade","FL",115,19.68605,-0.318256355908673,2357.93220817676
"22",12086,2020-12-22,"Miami-Dade","FL",121,18.82806,0.295614710405707,2318.60549285707
"23",12086,2020-12-23,"Miami-Dade","FL",131,19.70793,0.364647658700415,2260.66232257233
"24",12086,2020-12-24,"Miami-Dade","FL",145,19.51347,-0.113242980434086,2192.29176727175
"25",12086,2020-12-25,"Miami-Dade","FL",117,19.87414,-0.652085954951321,2123.50644253944
"26",12086,2020-12-26,"Miami-Dade","FL",120,21.04986,0.0690610933235666,2064.77485036813
"27",12086,2020-12-27,"Miami-Dade","FL",120,20.75173,0.029318207677646,2026.56549275063
"28",12086,2020-12-28,"Miami-Dade","FL",111,20.70951,0.0872692656735968,2018.38913916158
"29",12086,2020-12-29,"Miami-Dade","FL",142,20.90749,0.133236181467693,2044.180878671
"30",12086,2020-12-30,"Miami-Dade","FL",163,18.60749,0.0998300645270995,2099.93906650235
"31",12086,2020-12-31,"Miami-Dade","FL",139,18.88165,-0.219222047423094,2179.91730754688
"32",12086,2021-01-01,"Miami-Dade","FL",144,20.51724,-0.32125876656153,2278.36920669581
"33",12086,2021-01-02,"Miami-Dade","FL",128,20.90476,0.0102030930636453,2388.92488830718
"34",12086,2021-01-03,"Miami-Dade","FL",137,19.74359,-0.034734496544501,2502.72055460554
"35",12086,2021-01-04,"Miami-Dade","FL",121,13.52564,-0.121028195259075,2611.22665980045
"36",12086,2021-01-05,"Miami-Dade","FL",165,11.66667,-0.194093509206049,2709.74458817383
"37",12086,2021-01-06,"Miami-Dade","FL",156,10.99537,-0.179991085235606,2794.53345652574
"38",12086,2021-01-07,"Miami-Dade","FL",134,14.69907,-0.245914478051815,2861.90797748334
"39",12086,2021-01-08,"Miami-Dade","FL",177,15.87607,-0.187920731160118,2908.40524698202
"40",12086,2021-01-09,"Miami-Dade","FL",154,10.46296,-0.0519996219326331,2931.2414373175
"41",12086,2021-01-10,"Miami-Dade","FL",129,8.449074,-0.123756970892394,2930.12664291893
"42",12086,2021-01-11,"Miami-Dade","FL",143,15.09259,-0.256621391308149,2905.39443874862
"43",12086,2021-01-12,"Miami-Dade","FL",154,16.92192,-0.252901439396616,2858.28945163757
"44",12086,2021-01-13,"Miami-Dade","FL",168,13.14327,-0.239374941970433,2793.70051589094
"45",12086,2021-01-14,"Miami-Dade","FL",142,12.99603,-0.257437064507124,2717.37192185548
"46",12086,2021-01-15,"Miami-Dade","FL",164,14.0404,-0.249330887111087,2634.82557656967
"47",12086,2021-01-16,"Miami-Dade","FL",128,12.80781,-0.107406576009263,2551.52779124493
"48",12086,2021-01-17,"Miami-Dade","FL",136,11.57407,-0.135136548571687,2472.55306423856
"49",12086,2021-01-18,"Miami-Dade","FL",116,12.87037,-0.13602276916661,2401.4086424914
"50",12086,2021-01-19,"Miami-Dade","FL",132,10.99537,-0.246492699868906,2340.29890822168
"51",12086,2021-01-20,"Miami-Dade","FL",145,13.05556,-0.265787688447127,2287.7840361734
"52",12086,2021-01-21,"Miami-Dade","FL",124,12.63889,-0.339510355651345,2241.51314922189
"53",12086,2021-01-22,"Miami-Dade","FL",133,14.87455,-0.27983698732764,2199.22503591542
"54",12086,2021-01-23,"Miami-Dade","FL",125,16.21648,-0.146648787230775,2159.01714749392
"55",12086,2021-01-24,"Miami-Dade","FL",122,17.63889,-0.165488685087043,2119.46841372431
"56",12086,2021-01-25,"Miami-Dade","FL",109,18.68056,-0.258409905905932,2080.72501579
"57",12086,2021-01-26,"Miami-Dade","FL",148,19.08333,-0.235822412671287,2043.32494772843
"58",12086,2021-01-27,"Miami-Dade","FL",124,19.88304,-0.256353548314572,2007.80620357702
"59",12086,2021-01-28,"Miami-Dade","FL",135,15.40123,-0.331473898062894,1974.50478095723
"60",12086,2021-01-29,"Miami-Dade","FL",115,10.43981,-0.271620983494881,1942.8590261533
"61",12086,2021-01-30,"Miami-Dade","FL",129,12.94686,-0.120943750664572,1911.74662634185
"62",12086,2021-01-31,"Miami-Dade","FL",99,16.41204,-0.165743103666384,1879.95560302656
"63",12086,2021-02-01,"Miami-Dade","FL",129,14.7619,-0.272192073283239,1846.27397771111
"64",12086,2021-02-02,"Miami-Dade","FL",115,8.587963,-0.254901582875859,1809.98914292821
"65",12086,2021-02-03,"Miami-Dade","FL",114,8.547009,-0.245559070630476,1772.38597532692
"66",12086,2021-02-04,"Miami-Dade","FL",117,7.58547,-0.330415943512472,1735.45071900135
"67",12086,2021-02-05,"Miami-Dade","FL",106,13.81944,-0.243330589504583,1701.97760370991
"68",12086,2021-02-06,"Miami-Dade","FL",142,19.0404,-0.163185690150164,1674.96285562698
"69",12086,2021-02-07,"Miami-Dade","FL",106,21.53747,-0.223090464886349,1656.34567789772
"70",12086,2021-02-08,"Miami-Dade","FL",90,19.34921,-0.276790906091161,1643.83718155011
"71",12086,2021-02-09,"Miami-Dade","FL",147,18.3165,-0.263995739879984,1633.59208355383
"72",12086,2021-02-10,"Miami-Dade","FL",103,19.79167,-0.227903141405025,1619.76761676226
"73",12086,2021-02-11,"Miami-Dade","FL",118,19.62963,-0.296784979793318,1596.02164299971
"74",12086,2021-02-12,"Miami-Dade","FL",108,20.36458,-0.182829882330746,1557.47386069713
"75",12086,2021-02-13,"Miami-Dade","FL",97,22.0216,0.0418130693162888,1505.09131471211
"76",12086,2021-02-14,"Miami-Dade","FL",81,21.51389,0.0806104067093006,1442.35990953812
"77",12086,2021-02-15,"Miami-Dade","FL",78,22.55051,-0.111341840959062,1376.99364178584
"78",12086,2021-02-16,"Miami-Dade","FL",99,19.58937,-0.221592983650861,1317.76353109518
"79",12086,2021-02-17,"Miami-Dade","FL",105,19.22515,-0.176968745319838,1272.26379618674
"80",12086,2021-02-18,"Miami-Dade","FL",103,21.65033,-0.262508251608322,1243.38145210381
"81",12086,2021-02-19,"Miami-Dade","FL",125,20.72104,-0.199779117484898,1231.36487636373
"82",12086,2021-02-20,"Miami-Dade","FL",107,12.36111,-0.0415106154227856,1230.61510005718
"83",12086,2021-02-21,"Miami-Dade","FL",93,14.12037,-0.0797920269457544,1234.07131766831
"84",12086,2021-02-22,"Miami-Dade","FL",103,18.57778,-0.207054600928723,1234.67272368114
"85",12086,2021-02-23,"Miami-Dade","FL",93,18.78086,-0.21296709721147,1226.51313552424
"86",12086,2021-02-24,"Miami-Dade","FL",98,18.82716,-0.204652183672605,1209.48166332352
"87",12086,2021-02-25,"Miami-Dade","FL",86,15.23148,-0.248583721114687,1189.32924382673
"88",12086,2021-02-26,"Miami-Dade","FL",84,18.82716,-0.229173924050705,1172.98361470086
"89",12086,2021-02-27,"Miami-Dade","FL",102,19.9537,0.00544417008305667,1167.37251361297
"90",12086,2021-02-28,"Miami-Dade","FL",79,21,-0.0519840762238064,1177.7829276815
"91",12086,2021-03-01,"Miami-Dade","FL",77,21.21528,-0.217530595888494,1202.93884183062
"92",12086,2021-03-02,"Miami-Dade","FL",88,21.00529,-0.171973435639031,1238.76886749145
"93",12086,2021-03-03,"Miami-Dade","FL",89,19.72222,-0.0278396068112215,1276.58312431709
"94",12086,2021-03-04,"Miami-Dade","FL",85,14.26523,-0.162860674130638,1306.5371090161
"95",12086,2021-03-05,"Miami-Dade","FL",73,13.00926,-0.217445131309552,1320.08579190087
"96",12086,2021-03-06,"Miami-Dade","FL",83,15.85714,0.0127420517243416,1313.88203769897
"97",12086,2021-03-07,"Miami-Dade","FL",83,13.31276,0.115635364465216,1287.51893529033
"98",12086,2021-03-08,"Miami-Dade","FL",75,11.41204,-0.120221357343569,1247.15257574914
"99",12086,2021-03-09,"Miami-Dade","FL",87,13.49537,-0.12130313416487,1200.57980069822
"100",12086,2021-03-10,"Miami-Dade","FL",95,14.53704,-0.18399952758152,1155.17075965698
"101",12086,2021-03-11,"Miami-Dade","FL",85,16.08796,-0.25236837552765,1116.58883373143
"102",12086,2021-03-12,"Miami-Dade","FL",95,16.31944,-0.217102224393584,1088.77123832054
"103",12086,2021-03-13,"Miami-Dade","FL",91,16.48148,0.215872922106308,1070.45729440798
"104",12086,2021-03-14,"Miami-Dade","FL",71,17.6749,0.124812807996659,1059.08684937368
"105",12086,2021-03-15,"Miami-Dade","FL",79,18.61111,-0.235050300181682,1052.22801006052
"106",12086,2021-03-16,"Miami-Dade","FL",95,19.05093,-0.238465000522878,1047.96192116296
"107",12086,2021-03-17,"Miami-Dade","FL",102,18.98413,0.0811183084572513,1044.92467894181
"108",12086,2021-03-18,"Miami-Dade","FL",93,20.64327,-0.0759622608751045,1043.45914807123
"109",12086,2021-03-19,"Miami-Dade","FL",90,17.68199,-0.0243850970819367,1044.33488532875
"110",12086,2021-03-20,"Miami-Dade","FL",83,13.63095,0.0938741271960397,1048.17836131163
"111",12086,2021-03-21,"Miami-Dade","FL",80,13.20789,0.292269703482213,1055.04370189601
"112",12086,2021-03-22,"Miami-Dade","FL",75,14.94253,-0.0951176632655511,1064.713687315
"113",12086,2021-03-23,"Miami-Dade","FL",93,15.28889,-0.107873191474478,1076.45805994989
"114",12086,2021-03-24,"Miami-Dade","FL",83,17.68519,-0.139299063309412,1089.41830271917
"115",12086,2021-03-25,"Miami-Dade","FL",80,20.82583,-0.148587655656403,1102.73589854126
"116",12086,2021-03-26,"Miami-Dade","FL",85,21.85185,-0.154714955758987,1115.59904046195
"117",12086,2021-03-27,"Miami-Dade","FL",63,20.29514,0.0638142271475999,1127.52584821683
"118",12086,2021-03-28,"Miami-Dade","FL",79,21.48148,0.0708534541915814,1138.65349638997
"119",12086,2021-03-29,"Miami-Dade","FL",76,21.4751,0.0170285076758876,1149.26224574559
"120",12086,2021-03-30,"Miami-Dade","FL",92,21.68724,0.103066993742235,1159.632357048
"121",12086,2021-03-31,"Miami-Dade","FL",77,22.11538,0.135052277302533,1170.14614706532
"122",12086,2021-04-01,"Miami-Dade","FL",70,20.39931,0.0170103353541056,1181.59415658118
"123",12086,2021-04-02,"Miami-Dade","FL",69,11.04167,-0.0647620997257031,1194.82227225568
"124",12086,2021-04-03,"Miami-Dade","FL",88,11.78241,0.164814924209308,1210.4895402394
